time,angle,velocity,torque,control
0.000000,1.862936,-0.004396,-0.953846,0.000000
0.010000,1.862936,-0.004396,-0.116948,0.000000
0.020000,1.862936,-0.004396,0.151052,0.000000
0.030000,1.862936,0.002155,-0.368636,0.000000
0.040000,1.862936,-0.004396,-0.261512,0.000000
0.050000,1.862936,-0.004396,0.011872,0.000000
0.060000,1.862936,-0.004396,-0.259284,0.000000
0.070000,1.862936,-0.004396,-0.309528,0.000000
0.080000,1.862936,-0.002057,0.092308,0.000000
0.090000,1.862936,-0.004396,-0.346845,0.000000
0.100000,1.862936,0.002191,-0.153846,0.000000
0.110000,1.862936,-0.004396,0.235548,0.000000
0.120000,1.862936,-0.008480,0.270694,0.000000
0.130000,1.862936,-0.004396,-0.253406,0.000000
0.140000,1.862936,-0.008320,0.037364,0.000000
0.150000,1.862936,-0.004396,0.024223,0.000000
0.160000,1.862936,-0.004396,-0.012842,0.000000
0.170000,1.862936,-0.013187,0.512138,0.000000
0.180000,1.862936,-0.012244,0.001455,0.000000
0.190000,1.862936,-0.004396,0.696236,0.000000
0.200000,1.862936,-0.012528,0.240044,0.000000
0.210000,1.862936,-0.005519,0.422221,0.000000
0.220000,1.862936,-0.004396,0.525717,0.000000
0.230000,1.862936,-0.011983,0.359532,0.000000
0.240000,1.862936,-0.004396,0.036625,0.000000
0.250000,1.862936,-0.004396,0.253855,0.000000
0.260000,1.862936,0.003143,-0.157923,0.000000
0.270000,1.862936,-0.007201,0.067404,0.000000
0.280000,1.862936,-0.004396,-0.030769,0.000000
0.290000,1.862936,-0.011858,-0.192128,0.000000
0.300000,1.862936,0.002172,-0.291768,0.000000
0.310000,1.862936,-0.002407,0.306242,0.000000
0.320000,1.862936,-0.013187,-0.485494,0.000000
0.330000,1.862936,-0.006702,-0.176993,0.000000
0.340000,1.862936,0.003783,-0.291329,0.000000
0.350000,1.862936,0.001928,-0.148478,0.000000
0.360000,1.862936,-0.004396,-0.400000,0.000000
0.370000,1.862936,-0.006489,-0.259356,0.000000
0.380000,1.862936,-0.004396,0.392757,0.000000
0.390000,1.862936,0.003726,0.106360,0.000000
0.400000,1.862936,-0.004396,-0.440797,0.000000
0.410000,1.862936,0.001770,-0.278625,0.000000
0.420000,1.862936,-0.003723,-0.187154,0.000000
0.430000,1.862936,-0.004396,0.151706,0.000000
0.440000,1.862936,-0.013187,-1.144214,0.000000
0.450000,1.862936,-0.004396,0.135765,0.000000
0.460000,1.862936,-0.004708,-0.160396,0.000000
0.470000,1.862936,-0.001249,0.087758,0.000000
0.480000,1.862936,-0.009665,-0.338462,0.000000
0.490000,1.862936,-0.010259,-0.338462,0.000000
0.500000,1.862936,-0.004396,0.258903,0.000000
0.510000,1.862936,0.004396,-0.221455,0.000000
0.520000,1.862936,-0.004396,0.134993,0.000000
0.530000,1.862936,-0.004396,-0.214298,0.000000
0.540000,1.862936,-0.004396,-0.081748,0.000000
0.550000,1.862936,-0.002992,-0.001292,0.000000
0.560000,1.862936,-0.004396,0.116875,0.000000
0.570000,1.862936,-0.013096,-0.394272,0.000000
0.580000,1.862936,-0.002218,-0.047734,0.000000
0.590000,1.862936,-0.004396,0.062161,0.000000
0.600000,1.862936,0.004335,-0.334223,0.000000
0.610000,1.862936,-0.004396,0.143223,0.000000
0.620000,1.862936,-0.004396,-0.379369,0.000000
0.630000,1.862936,0.004396,-0.042641,0.000000
0.640000,1.862936,-0.006106,0.241007,0.000000
0.650000,1.862936,-0.008695,0.113009,0.000000
0.660000,1.862936,-0.004665,-0.006269,0.000000
0.670000,1.862936,-0.011354,0.169289,0.000000
0.680000,1.862936,-0.004396,-0.262888,0.000000
0.690000,1.862936,0.004396,-0.306896,0.000000
0.700000,1.862936,-0.003964,-0.147802,0.000000
0.710000,1.862936,-0.004396,0.073432,0.000000
0.720000,1.862936,0.000413,-0.381613,0.000000
0.730000,1.862936,-0.004396,0.209412,0.000000
0.740000,1.862936,-0.004396,-0.239826,0.000000
0.750000,1.862936,-0.011910,-0.319585,0.000000
0.760000,1.862936,-0.006105,0.273489,0.000000
0.770000,1.862936,-0.007796,0.082443,0.000000
0.780000,1.862936,-0.004336,0.325884,0.000000
0.790000,1.862936,-0.011439,0.462275,0.000000
0.800000,1.862936,0.000829,-0.373289,0.000000
0.810000,1.862936,-0.007772,-0.025880,0.000000
0.820000,1.862936,-0.009887,0.415340,0.000000
0.830000,1.862936,-0.010318,0.247760,0.000000
0.840000,1.862936,-0.010320,0.296992,0.000000
0.850000,1.862936,-0.008071,0.118033,0.000000
0.860000,1.862936,-0.001252,-0.132193,0.000000
0.870000,1.862936,-0.013187,-1.248376,0.000000
0.880000,1.862936,-0.004396,-0.008081,0.000000
0.890000,1.862936,-0.005392,0.500930,0.000000
0.900000,1.862936,-0.004396,0.058234,0.000000
0.910000,1.862936,-0.004409,0.215479,0.000000
0.920000,1.862936,-0.011410,-0.387563,0.000000
0.930000,1.862936,-0.004396,0.092308,0.000000
0.940000,1.862936,0.003024,-0.011573,0.000000
0.950000,1.862936,-0.011794,-0.011267,0.000000
0.960000,1.862936,-0.013031,-0.338462,0.000000
0.970000,1.862936,-0.006230,0.174199,0.000000
0.980000,1.862936,-0.002183,0.062163,0.000000
0.990000,1.862936,-0.004396,0.408995,0.000000
1.000000,1.862936,-0.001504,0.093123,0.000000
1.010000,1.862936,-0.004396,0.325567,0.000000
1.020000,1.862936,-0.004396,-0.461486,0.000000
1.030000,1.862936,-0.003136,0.303184,0.000000
1.040000,1.862936,-0.001964,0.542066,0.000000
1.050000,1.862936,-0.003275,0.029567,0.000000
1.060000,1.862936,0.002550,0.212318,0.000000
1.070000,1.862936,0.000420,-0.274963,0.000000
1.080000,1.862936,-0.003524,-0.556335,0.000000
1.090000,1.862936,-0.004396,-0.262692,0.000000
1.100000,1.862936,-0.000175,-0.311367,0.000000
1.110000,1.862936,-0.007506,0.157628,0.000000
1.120000,1.862936,-0.004396,-0.181763,0.000000
1.130000,1.862936,-0.004396,0.153846,0.000000
1.140000,1.862936,-0.004396,-0.153846,0.000000
1.150000,1.862936,-0.004396,-0.033973,0.000000
1.160000,1.862936,-0.004396,0.195195,0.000000
1.170000,1.862936,0.003905,0.249443,0.000000
1.180000,1.862936,-0.009723,0.746884,0.000000
1.190000,1.862936,-0.004396,0.113990,0.000000
